Poids,Volume,Conductivite,Opacite,Rigidite,Prix_Revente,Source_Centre_Tri,Source_Collecte_Citoyenne,Source_Inconnu,Source_Usine_A,Source_Usine_B,Source_encoded,Rapport_Collecte
1.4087296531157578,2.563694921258864,-0.5463086877137516,-1.142920082285749,1.3346208147511458,0.12171627897635559,0,0,0,1,0,3,"Déchet en verre collecté en provenance de l'Usine A. Poids lourd : 251.7 kg, volume 491.3 L. Très rigide, non conducteur, aspect légèrement translucide."
-0.1993847276676654,-0.23252452630398632,1.8930950855999378,1.0407672129717773,0.6853151432372944,1.4583954781623893,0,1,0,0,0,1,"Ferraille ou métal collecté issu de la collecte citoyenne. Masse 54.8 kg. Haute conductivité électrique, matériau extrêmement rigide. Prix revente estimé."
-0.1993847276676654,-0.23252452630398632,1.8930950855999378,1.0407672129717773,0.6853151432372944,1.4583954781623893,0,1,0,0,0,1,"Déchet métallique détecté issu de la collecte citoyenne. Poids 54.8 kg, volume 113.5 L. Conductivité élevée (0.921), rigidité importante. Poids anormalement élevé pour cette catégorie."
0.14329773120930445,0.18513868040196618,1.7345778520715056,1.0407672129717773,0.36066230748036865,3.302867643889032,0,0,0,1,0,3,"Métal de récupération à l'Usine A. Masse 96.7 kg. Forte conductivité (0.861), rigidité élevée. Bonne valeur marchande."
-0.47054285783645305,-0.6926914090339181,-0.5463086877137516,-0.7721073072383148,-0.2886433640334828,-0.6333586616148202,0,0,0,0,1,4,"Déchet plastique collecté depuis l'Usine B. Poids 21.6 kg, volume 51.4 L. Rigidité rigide, non conducteur. Surface légèrement translucide."
-0.542077877335904,-0.8929211862427157,-0.5463086877137516,1.0407672129717773,-0.9379490355473342,-0.8555955474313615,0,0,0,0,1,4,"Déchet de type papier identifié à l'Usine B. Volume estimé 24.3 L, poids 12.8 kg. Texture semi-rigide, très opaque."
-0.5440113334600433,-0.8763482645470352,-0.5463086877137516,0.5588204456559689,-1.26260187130426,-0.8789253618889681,0,0,0,0,1,4,"Lot de papier récupéré depuis l'Usine B. Poids léger de non mesuré kg, volume petit. Matériau souple, non conducteur, aspect indéterminée. Bon état général."
-0.5173151182280679,-0.8250091626506814,-0.5463086877137516,1.0407672129717773,-0.9379490355473342,-0.8333814836833073,0,0,0,1,0,3,"Collecte de déchets papier provenant de l'Usine A. Masse 15.8 kg. Matériau semi-rigide, sans conductivité électrique. Surface très opaque."
-0.25575552778204685,-0.34125930929004994,1.5962506236840606,1.0407672129717773,0.36066230748036865,1.1549823063547073,0,1,0,0,0,1,"Déchet métallique détecté via la collecte citoyenne. Poids 47.9 kg, volume 98.8 L. Conductivité élevée (0.809), rigidité importante. Matériau mélangé à d'autres déchets."
-0.5394923517030231,-1.0521757935324867,-0.5463086877137516,1.0407672129717773,-1.26260187130426,-0.8868057915658526,1,0,0,0,0,0,"Déchet de type papier identifié depuis le Centre de Tri. Volume estimé 2.8 L, poids 13.1 kg. Texture souple, très opaque."
-0.190607271754122,-0.3065483295178262,-0.5463086877137516,-0.2499511347537043,-0.6132961997904085,-0.37779665841303484,1,0,0,0,0,0,"Déchets plastiques divers au Centre de Tri. Poids estimé non mesuré kg. Opacité semi-opaque, souplesse variable. Aucune anomalie signalée."
-0.25575552778204685,-0.34125930929004994,1.5962506236840606,1.0407672129717773,0.36066230748036865,1.1549823063547073,0,1,0,0,0,1,Déchets métalliques triés issu de la collecte citoyenne. Poids 47.9 kg. Conductivité mesurée : 0.809. Matériau dense et résistant. Lot conforme aux standards de tri.
-0.3449474891265633,-0.4000871802551641,-0.5463086877137516,-0.6369818066289887,-0.2886433640334828,-0.40802161295783373,0,0,0,1,0,3,"Déchets plastiques divers en provenance de l'Usine A. Poids estimé 37.0 kg. Opacité légèrement translucide, souplesse variable. Aucune anomalie signalée."
-0.1427615544874289,-0.13702533852938534,1.798797940051439,1.0407672129717773,1.00996797899422,1.7631670360890286,0,0,0,1,0,3,"Lot métallique en provenance de l'Usine A. Poids 61.7 kg, volume 126.4 L. Conducteur, très rigide. Aspect très opaque. Conditionnement non conforme au protocole."
-0.23866174150692165,-0.3838492856997245,1.3157215426365183,1.0407672129717773,0.36066230748036865,1.2055210140511874,0,0,0,1,0,3,Déchets métalliques triés à l'Usine A. Poids non mesuré kg. Conductivité mesurée : non mesurée. Matériau dense et résistant. Légère contamination observée.
